arabic_name,english_name,source,original_arabic,original_english,arabic_normalized,english_cleaned,arabic_length,english_length
طره الجويعي,Tarah Al-Juway'i,split,الغريف - طره الجويعي,Al-Gharif - Tarah Al-Juway'i,طره الجويعي,Tarah Al-Juway'i,11,16
الشقيراء,Al-Shuqayra,split,الشقيراء - الحبوه السوداء,Al-Shuqayra - Al-Habwah Al-Sawda',الشقيراء,Al-Shuqayra,8,11
الكويحه,Al-Kuwayhah,split,الكويحه - الاجراف,Al-Kuwayhah - Al-Ajraf,الكويحه,Al-Kuwayhah,7,11
جعاشي,Ja'ashi,split,جعاشي - دهل السمح,Ja'ashi - Dahl Al-Samh,جعاشي,Ja'ashi,5,7
القحيزه,Al-Qahizah,split,القحيزه - المضاحي,Al-Qahizah - Al-Madhahi,القحيزه,Al-Qahizah,7,10
الجبيه,al-Jubayyah,split,الجبيه - الحجيج,al-Jubayyah - al-Hajjaj,الجبيه,al-Jubayyah,6,11
عقيلة,Aqilah,split,الشبارة - عقيلة,Al-Shabarah - Aqilah,عقيلة,Aqilah,5,6
القرن,Al-Qarn,split,جبل الحكيمه - القرن,Jabal Al-Hakimah - Al-Qarn,القرن,Al-Qarn,5,7
الطوير,Al-Tuwair,split,الطوير - المحمر,Al-Tuwair - Al-Muhammar,الطوير,Al-Tuwair,6,9
الشقيراء,Al-Shuqayra,split,الشقيراء - الرهيطه العليا,Al-Shuqayra - Al-Rahitah Al-'Ulya,الشقيراء,Al-Shuqayra,8,11
الصعيدة,Al-Sa'idah,split,الشبارة - الصعيدة,Al-Shabarah - Al-Sa'idah,الصعيدة,Al-Sa'idah,7,10
وادي مكسب,Wadi Makasab,split,وادي مكسب - الملعب الاسفل,Wadi Makasab - Al-Mal'ab Al-Asfal,وادي مكسب,Wadi Makasab,9,12
بيت الهويش,Bayt Al-Huwaish,split,مقدم راس - بيت الهويش,Muqaddam Ras - Bayt Al-Huwaish,بيت الهويش,Bayt Al-Huwaish,10,15
الجدير,Al-Jadir,split,الغرافي - الجدير,Al-Gharrafi - Al-Jadir,الجدير,Al-Jadir,6,8
الطبيليه,Al-Tabiliyah,original,,,الطبيليه,Al-Tabiliyah,8,12
جنس,Jins,split,بني مليك - جنس,Bani Malik - Jins,جنس,Jins,3,4
مصران,Misran,split,الشقيراء - مصران,Al-Shuqayra - Misran,مصران,Misran,5,6
قحقه عين سباء,Qahqat 'Ayn Saba',split,وادي سعاده - قحقه عين سباء,Wadi Sa'adah - Qahqat 'Ayn Saba',قحقه عين سباء,Qahqat 'Ayn Saba',13,17
الغيل,Al-Ghayl,split,الغيل - خبخب,Al-Ghayl - Khabkhab,الغيل,Al-Ghayl,5,8
الجاتين,Al-Jatin,split,الصنمه - الجاتين,Al-Sunmah - Al-Jatin,الجاتين,Al-Jatin,7,8
الدلع,Al-Dala',split,نوبة عامر - الدلع,Nawbat Amer - Al-Dala',الدلع,Al-Dala',5,8
مسلقه,Maslaqah,split,الشعيب - مسلقه,Al-Shuaib - Maslaqah,مسلقه,Maslaqah,5,8
بني علي,Bani Ali,split,بني علي - كوكبان,Bani Ali - Kawkaban,بني علي,Bani Ali,7,8
المحوى,Al-Mahwa,split,السويداء - المحوى,Al-Suwayda' - Al-Mahwa,المحوى,Al-Mahwa,6,8
المقداحه,Al-Maqdaha,split,بني حجاج - المقداحه,Bani Hajjaj - Al-Maqdaha,المقداحه,Al-Maqdaha,8,10
الصـويره - الحوبان,Al-Sawerah-Al-Hawban,original,,,الصويره - الحوبان,Al-Sawerah-Al-Hawban,17,20
حصيب القوبه,Hasib Al-Qubbah,split,حصيب القوبه - الموجع,Hasib Al-Qubbah - Al-Muwajja',حصيب القوبه,Hasib Al-Qubbah,11,15
الميهال,Al-Mihyal,split,وادي الاحمر - الميهال,Wadi Al-Ahmar - Al-Mihyal,الميهال,Al-Mihyal,7,9
السويس,Al-Suways,split,المخاء - السويس,Al-Mukha - Al-Suways,السويس,Al-Suways,6,9
المسماره,Al-Masmarah,split,الصنمه - المسماره,Al-Sanmah - Al-Masmarah,المسماره,Al-Masmarah,8,11
القاعده,Al-Qa'idah,original,,,القاعده,Al-Qa'idah,7,10
الرواع,Ar-Rawa',split,الرواع - الرواع الاسفل,Ar-Rawa' - Ar-Rawa' Asfal,الرواع,Ar-Rawa',6,8
الهاملي,Al-Hamli,split,الهاملي - الجبيل,Al-Hamli - Al-Jubayl,الهاملي,Al-Hamli,7,8
المزانده,Al-Mazanda,split,المزانده - البطنه,Al-Mazanda - Al-Batnah,المزانده,Al-Mazanda,8,10
القحقاح,Al-Qahqah,split,الحد - القحقاح,Al-Had - Al-Qahqah,القحقاح,Al-Qahqah,7,9
المشقبه,Al-Mashqaba,split,بني دريغم - المشقبه,Bani Drigham - Al-Mashqaba,المشقبه,Al-Mashqaba,7,11
المقيصع,Al-Muqaysi',split,المقيصع - العراقي,Al-Muqaysi' - Al-'Iraqi,المقيصع,Al-Muqaysi',7,11
الحمرور,Al-Hamrur,split,الكربه - الحمرور,Al-Karbah - Al-Hamrur,الحمرور,Al-Hamrur,7,9
سيلة السوداء,Saylat Al-Sawda,split,حسي بن علوان - سيلة السوداء,Hassi Bin Alwan - Saylat Al-Sawda,سيلة السوداء,Saylat Al-Sawda,12,15
الدفنه,Al-Dafna,split,بني دريغم - الدفنه,Bani Drigham - Al-Dafna,الدفنه,Al-Dafna,6,8
شبيه,Shabih,split,شبيه - هيجة الحجر,Shabih - Heijah Al-Hajar,شبيه,Shabih,4,6
الجب,Al-Jub,split,وادي البير - الجب,Wadi Al-Bir - Al-Jub,الجب,Al-Jub,4,6
الدراغمه,Al-Daraghmah,split,العريش - الدراغمه,Al-Arish - Al-Daraghmah,الدراغمه,Al-Daraghmah,8,12
حسى كليب,Hassi Kulayb,split,يختل - حسى كليب,Yakhtal - Hassi Kulayb,حسى كليب,Hassi Kulayb,8,12
العقمه,Al-Aqmah,split,العقمه - الغله,Al-Aqmah - Al-Ghalah,العقمه,Al-Aqmah,6,8
الكدحه,Al-Kadha,split,الكدحه - العواس,Al-Kadha - Al-Awas,الكدحه,Al-Kadha,6,8
الكدحه,Al-Kadha,split,الكدحه - المعقر,Al-Kadha - Al-Ma'qar,الكدحه,Al-Kadha,6,8
ذياب,Dhiab,split,الحمراء - ذياب,Al-Hamra - Dhiab,ذياب,Dhiab,4,5
النوبه الشاكرية,Al-Nuba Al-Shakriya,split,الغيل - النوبه الشاكرية,Al-Ghayl - Al-Nuba Al-Shakriya,النوبه الشاكرية,Al-Nuba Al-Shakriya,15,19
بني حجاج,Bani Hajjaj,split,بني حجاج - الشفرين,Bani Hajjaj - Al-Shafrayn,بني حجاج,Bani Hajjaj,8,11
شرك,Shirk,split,جبل العمري - شرك,Jabal Al-Amri - Shirk,شرك,Shirk,3,5
الحنجرة بدو رحل,Al-Hanjarah (Bedouin nomads),original,,,الحنجرة بدو رحل,Al-Hanjarah (Bedouin nomads),15,28
جسر رسيان,Rasian Bridge,split,جسر رسيان - القماريه,Rasian Bridge - Al-Qamariya,جسر رسيان,Rasian Bridge,9,13
الحيضان,Al-Haydan,split,يفرس - الحيضان,Yafrus - Al-Haydan,الحيضان,Al-Haydan,7,9
الجعدي,Al-Ja'di,split,المخاء - الجعدي,Al-Mukha - Al-Ja'di,الجعدي,Al-Ja'di,6,8
داردعسين,Darda'sin,split,الحجافيه - داردعسين,Al-Hajafiyah - Darda'sin,داردعسين,Darda'sin,8,9
حمر,Hamr,split,حمر - المغني,Hamr - Al-Mughni,حمر,Hamr,3,4
الازيود,Al-Azyoud,split,الازيود - محجر راعى,Al-Azyoud - Mahjar Ra'i,الازيود,Al-Azyoud,7,9
الجبيه,al-Jubayyah,split,الجبيه - خدية,al-Jubayyah - Khadiyah,الجبيه,al-Jubayyah,6,11
الوحيز,Al-Wahiz,split,الوحيز - المقاطره,Al-Wahiz - Al-Muqatira,الوحيز,Al-Wahiz,6,8
الضاحيه,Al-dhahyah,split,العقمه - الضاحيه,Al-Aqmah - Al-dhahyah,الضاحيه,Al-dhahyah,7,10
الشقيراء,Al-Shuqayra,split,الشقيراء - اللصيبه,Al-Shuqayra - Al-Lasibah,الشقيراء,Al-Shuqayra,8,11
الطور,Al-Tur,original,,,الطور,Al-Tur,5,6
الكدحه,Al-Kadha,split,الكدحه - بئر حنيش,Al-Kadha - Bir Hanish,الكدحه,Al-Kadha,6,8
البزيقه,Al-Baziqa,split,حنه العليا - البزيقه,Hanna Al-Ulya - Al-Baziqa,البزيقه,Al-Baziqa,7,9
المقيصع,Al-Muqaysi',split,المقيصع - الطهبله,Al-Muqaysi' - Al-Tahbalah,المقيصع,Al-Muqaysi',7,11
وادي الاحمر,Wadi Al-Ahmar,split,وادي الاحمر - الرون,Wadi Al-Ahmar - Al-Rawn,وادي الاحمر,Wadi Al-Ahmar,11,13
مقبنه,Maqbanah,split,مقبنه - خرشبه,Maqbanah - Kharshaba,مقبنه,Maqbanah,5,8
العقمه,Al-Aqmah,split,العقمه - الملحه,Al-Aqmah - Al-Malhah,العقمه,Al-Aqmah,6,8
المحمري,Al-Muhammari,split,الوحيز - المحمري,Al-Wahiz - Al-Muhammari,المحمري,Al-Muhammari,7,12
حصب العزيبه,Hasab Al-Aziba,split,الغيل - حصب العزيبه,Al-Ghayl - Hasab Al-Aziba,حصب العزيبه,Hasab Al-Aziba,11,14
رشيد,Rashid,split,الطوير - رشيد,Al-Tuwair - Rashid,رشيد,Rashid,4,6
المغدر,Al-Maghdar,split,المغدر - الاكمـه,Al-Maghdar - Al-Akma,المغدر,Al-Maghdar,6,10
حنه العليا,Hanna Al-Ulya,split,حنه العليا - حنه,Hanna Al-Ulya - Hanna,حنه العليا,Hanna Al-Ulya,10,13
العفيرة,Al-Afira,split,العفيرة - المذاليع,Al-Afira - Al-Madhali',العفيرة,Al-Afira,7,8
اكمه الحدادين,Akmat Al-Haddadin,split,الظهر - اكمه الحدادين,Al-Dhahr - Akmat Al-Haddadin,اكمه الحدادين,Akmat Al-Haddadin,13,17
ذي البرع - هوب مبرد,Thee Al-Bara-Hob Mabrad,original,,,ذي البرع - هوب مبرد,Thee Al-Bara-Hob Mabrad,19,23
الوحيز,Al-Wahiz,split,الوحيز - الكيمه,Al-Wahiz - Al-Kima,الوحيز,Al-Wahiz,6,8
واحجه,Wahja,original,,,واحجه,Wahja,5,5
الدار,Al-Dar,split,المعصرة - الدار,Al-Ma'sara - Al-Dar,الدار,Al-Dar,5,6
شرج الذئب,Sharj Al-Dhib,split,الردف - شرج الذئب,Al-Radf - Sharj Al-Dhib,شرج الذيب,Sharj Al-Dhib,9,13
نمره,Nimrah,split,نمره - جبل الشعبي,Nimrah - Jabal Al-Sha'bi,نمره,Nimrah,4,6
حاضيه,Hadhiyah,split,حاضيه - النويبة,Hadhiyah - al-Nuwaybah,حاضيه,Hadhiyah,5,8
الحجافيه,Al-Hajafiyah,split,الحجافيه - جبل الدبيزل,Al-Hajafiyah - Jabal Al-Dubayzil,الحجافيه,Al-Hajafiyah,8,12
الحمراء,Al-Hamra,original,,,الحمراء,Al-Hamra,7,8
حنه العليا,Hannah Al-Ulya,split,حنه العليا - الرويه العليا,Hannah Al-Ulya - Al-Ruwayya Al-Ulya,حنه العليا,Hannah Al-Ulya,10,14
العكده,al-Akdah,split,بني مليك - العكده,Bani Malik - al-Akdah,العكده,al-Akdah,6,8
خدية,Khadiyah,split,الجبيه - خدية,al-Jubayyah - Khadiyah,خدية,Khadiyah,4,8
الضاربة,Al-Dhariba,split,بني دريغم - الضاربة,Bani Drigham - Al-Dhariba,الضاربة,Al-Dhariba,7,10
الرقه,Al-Raqqa,split,حنه العليا - الرقه,Hanna Al-Ulya - Al-Raqqa,الرقه,Al-Raqqa,5,8
الطوير,Al-Tuwair,split,الطوير - قريع,Al-Tuwair - Qari',الطوير,Al-Tuwair,6,9
حنه العليا,Hanna Al-Ulya,split,حنه العليا - خرانه,Hanna Al-Ulya - Kharanah,حنه العليا,Hanna Al-Ulya,10,13
القاعده,Al-Qa'idah,split,القاعده - المحرقه,Al-Qa'idah - Al-Muharraqah,القاعده,Al-Qa'idah,7,10
الغيل,Al-Ghayl,split,الغيل - الخومله,Al-Ghayl - Al-Khumla,الغيل,Al-Ghayl,5,8
الخرابه,Al-Kharaba,split,النشيفه - الخرابه,An-Nashifa - Al-Kharaba,الخرابه,Al-Kharaba,7,10
الحياجي,Al-Hayaji,split,الحياجي - السيال,Al-Hayaji - Al-Sayyal,الحياجي,Al-Hayaji,7,9
يعاقبه,Yaaqaba,split,يعاقبه - المجن,Yaaqaba - Al-majan,يعاقبه,Yaaqaba,6,7
مقدم راس,Muqaddam Ras,split,مقدم راس - وادي بني ابراهيم,Muqaddam Ras - Wadi Bani Ibrahim,مقدم راس,Muqaddam Ras,8,12
القطين,Al-Qatin,split,الشبارة - القطين,Al-Shabarah - Al-Qatin,القطين,Al-Qatin,6,8
العارضه,Al-'Arida,split,العارضه - شعب الظافر,Al-'Arida - Sha'b Al-Dhafir,العارضه,Al-'Arida,7,9
المغر بة,Al-Maghriba,split,المعامرة - المغر بة,Al-Ma'amara - Al-Maghriba,المغر بة,Al-Maghriba,8,11
العريش,Al-Arish,split,العريش - الذنبه,Al-Arish - Al-Dhanbah,العريش,Al-Arish,6,8
الشبارة,Al-Shabarah,split,الشبارة - الجبيل,Al-Shabarah - Al-Jubail,الشبارة,Al-Shabarah,7,11
الكعوب الاعلى,Al-Ka'ub Al-A'la,split,الشقيراء - الكعوب الاعلى,Al-Shaqira' - Al-Ka'ub Al-A'la,الكعوب الاعلى,Al-Ka'ub Al-A'la,13,16
الدليفه,Al-Dulayfah,split,بني حجاج - الدليفه,Bani Hajjaj - Al-Dulayfah,الدليفه,Al-Dulayfah,7,11
الرباعنه,Al-Raba'nah,split,الرباعنه - المضابي,Al-Raba'nah - Al-Madhabi,الرباعنه,Al-Raba'nah,8,11
ثعوبه,Tha'uba,split,الرجحه - ثعوبه,Al-Rajhah - Tha'uba,ثعوبه,Tha'uba,5,7
المعامرة,Al-Ma'amara,split,المعامرة - العتاة,Al-Ma'amara - Al-'Ata,المعامرة,Al-Ma'amara,8,11
جبل الدامر,Jabal Al-Damir,split,الحجافيه - جبل الدامر,Al-Hajafiyah - Jabal Al-Damir,جبل الدامر,Jabal Al-Damir,10,14
الظهرالاسفل,Al-Dhahr Al-Asfal,split,الظهر - الظهرالاسفل,Al-Dhahr - Al-Dhahr Al-Asfal,الظهرالاسفل,Al-Dhahr Al-Asfal,11,17
المبذل,Al-Mabdhil,original,,,المبذل,Al-Mabdhil,6,10
مشعار نمره,Mish'ar Nimrah,split,نمره - مشعار نمره,Nimrah - Mish'ar Nimrah,مشعار نمره,Mish'ar Nimrah,10,14
حجينة,Hajinah,split,وادي موثب - حجينة,Wadi Muthab - Hajinah,حجينة,Hajinah,5,7
المبذل,Al-Mabdhil,split,المبذل - الجعاديه,Al-Mabdhil - Al-Ja'adiyah,المبذل,Al-Mabdhil,6,10
القطيف,Al-Qatif,split,الردف - القطيف,Al-Radf - Al-Qatif,القطيف,Al-Qatif,6,8
الروضة,Ar-Rawda,split,العفيرة - الروضة,Al-Afira - Ar-Rawda,الروضة,Ar-Rawda,6,8
الشبارة,Al-Shabara,split,الشبارة - الصوفة,Al-Shabara - Al-Sufah,الشبارة,Al-Shabara,7,10
شعبة الحادي,Sha'bat Al-Hadi,split,وادي البير - شعبة الحادي,Wadi Al-Bir - Sha'bat Al-Hadi,شعبة الحادي,Sha'bat Al-Hadi,11,15
المراتمه,Al-Maratimah,split,الحد - المراتمه,Al-Had - Al-Maratimah,المراتمه,Al-Maratimah,8,12
عقار,'Aqar,split,الحد - عقار,Al-Had - 'Aqar,عقار,'Aqar,4,5
الركز,al-Rukz,split,الركز - المزاحر,al-Rukz - al-Mazahir,الركز,al-Rukz,5,7
السويداء,Al-Suwayda',split,السويداء - المطايا,Al-Suwayda' - Al-Mataya,السويداء,Al-Suwayda',8,11
القطين,AL-Qateen,split,القطين - الصرم,AL-Qateen - Al-Sarim,القطين,AL-Qateen,6,9
النوازل,Al-Nawazil,split,النوازل - الهنيميـه,Al-Nawazil - Al-Hunaymiya,النوازل,Al-Nawazil,7,10
الحياجي,Al-Hayaji,split,الحياجي - الحبوه,Al-Hayaji - Al-Habwa,الحياجي,Al-Hayaji,7,9
الغيل,Al-Ghayl,split,الغيل - المورخ,Al-Ghayl - Al-Murakh,الغيل,Al-Ghayl,5,8
الحصب,Al-Hasab,split,وادي المعقم - الحصب,Wadi Al-Mu'aqam - Al-Hasab,الحصب,Al-Hasab,5,8
الميدان,Al-Midan,split,الميدان - شعب الحاج,Al-Midan - Shaab Al-Hajj,الميدان,Al-Midan,7,8
جسر رسيان,Rasian Bridge,split,جسر رسيان - العقه,Rasian Bridge - Al-Aqah,جسر رسيان,Rasian Bridge,9,13
العارضه,Al-'Arida,split,العارضه - حصب عباد,Al-'Arida - Hasab 'Abbad,العارضه,Al-'Arida,7,9
حاضيه,Hadhiyah,split,حاضيه - الخافشية,Hadhiyah - Al-Khafshiyah,حاضيه,Hadhiyah,5,8
الحصب,Al-Hasab,split,شعبو - الحصب,Sha'bu - Al-Hasab,الحصب,Al-Hasab,5,8
الطوير,Al-Tuwair,split,الطوير - الهدد,Al-Tuwair - Al-Haddad,الطوير,Al-Tuwair,6,9
الصدة,Al-Sadda,split,الجمعة - الصدة,Al-Jum'ah - Al-Sadda,الصدة,Al-Sadda,5,8
بحاره,Bahara,split,بحاره - الكدحه,Bahara - Al-Kadha,بحاره,Bahara,5,6
الحجاج,Al-Hajjaj,split,حيس - الحجاج,Hays - Al-Hajjaj,الحجاج,Al-Hajjaj,6,9
هداره,Haddara,split,هداره - الاصيفية,Haddara - Al-Asifiya,هداره,Haddara,5,7
حسي بن علوان,Hassi Bin Alwan,split,حسي بن علوان - حسي بن علوان,Hassi Bin Alwan - Hassi Bin Alwan,حسي بن علوان,Hassi Bin Alwan,12,15
الشبارة,Al-Shabarah,split,الشبارة - الضبة,Al-Shabarah - Al-Dhabah,الشبارة,Al-Shabarah,7,11
الطوير,Al-Tuwair,split,الطوير - جرنزه,Al-Tuwair - Jarnazah,الطوير,Al-Tuwair,6,9
الاكمة,Al-Akma,split,العفيرة - الاكمة,Al-Afira - Al-Akma,الاكمة,Al-Akma,6,7
جبل الحكيمه,Jabal al-Hakimah,split,جبل الحكيمه - اليواجد,Jabal al-Hakimah - al-Yawajid,جبل الحكيمه,Jabal al-Hakimah,11,16
الزغبري,Al-Zaghbari,split,الزغبري - المطارشة,Al-Zaghbari - Al-Matarsha,الزغبري,Al-Zaghbari,7,11
الاجراف,al-Ajraf,split,بني مليك - الاجراف,Bani Malik - al-Ajraf,الاجراف,al-Ajraf,7,8
الغاوى,Al-Ghawy,split,الجمعة - الغاوى,Al-Jum'ah - Al-Ghawy,الغاوى,Al-Ghawy,6,8
الفاترة,Al-Fatira,split,الغرافي - الفاترة,Al-Gharrafi - Al-Fatira,الفاترة,Al-Fatira,7,9
اللحوج,Al-Lahuj,split,موزع - اللحوج,Mawza' - Al-Lahuj,اللحوج,Al-Lahuj,6,8
شعبو,Sha'bu,split,شعبو - المشاقيه,Sha'bu - Al-Mashaqiyah,شعبو,Sha'bu,4,6
اكمة الحصة,Akmat Al-Hassa,split,رهبه - اكمة الحصة,Rahbah - Akmat Al-Hassa,اكمة الحصة,Akmat Al-Hassa,10,14
القشعه,Al-Qash'ah,split,القشعه - شعب البير,Al-Qash'ah - Sha'b Al-Bir,القشعه,Al-Qash'ah,6,10
شنـص,Shans,split,الكدمه - شنـص,Al-Kadmah - Shans,شنص,Shans,3,5
الشعيب,Al-Shu'ayb,split,الازيود - الشعيب,Al-Azyoud - Al-Shu'ayb,الشعيب,Al-Shu'ayb,6,10
بني حجاج,Bani Hajjaj,split,بني حجاج - المقداحه,Bani Hajjaj - Al-Maqdaha,بني حجاج,Bani Hajjaj,8,11
الجربه,Al-Jarba,split,المعامرة - الجربه,Al-Ma'amara - Al-Jarba,الجربه,Al-Jarba,6,8
الصرادح,Al-Saradih,split,الكدمه - الصرادح,Al-Kadmah - Al-Saradih,الصرادح,Al-Saradih,7,10
الادروس,Al-Adrous,split,الادروس - شعب حمر,Al-Adrous - Sha'ab Hamr,الادروس,Al-Adrous,7,9
الطاهري,Al-Tahir,split,الموسنه - الطاهري,Al-Musinah - Al-Tahir,الطاهري,Al-Tahir,7,8
الغيل,Al-Ghayl,split,الغيل - شط الحامي,Al-Ghayl - Shat Al-Hami,الغيل,Al-Ghayl,5,8
الشبارة,Al-Shabarah,original,,,الشبارة,Al-Shabarah,7,11
الرجحه,Al-Rajhah,split,الرجحه - المحابيل,Al-Rajhah - Al-Mahabil,الرجحه,Al-Rajhah,6,9
وادي المعقم,Wadi Al-Mu'aqam,split,وادي المعقم - الصرواح,Wadi Al-Mu'aqam - Al-Sarwah,وادي المعقم,Wadi Al-Mu'aqam,11,15
الحافة العليا,Al-Hafah Al-Ulya,split,يفرس - الحافة العليا,Yafrus - Al-Hafah Al-Ulya,الحافة العليا,Al-Hafah Al-Ulya,13,16
البراده,Al-Barada,split,الطوير - البراده,Al-Tuwair - Al-Barada,البراده,Al-Barada,7,9
البوق,Al-Buq,split,السفالية - البوق,Al-Safaliyah - Al-Buq,البوق,Al-Buq,5,6
