arabic,expected,rule_based
رداع - المصنع,Rada-Al-Masnna',Rda' - Al-msn'
مقدم راس - الراس,Muqaddam Ras - Al-Ras,Mqdm ras - Ar-ras
الحد - الجريبه,Al-Had - Al-Juraybah,Al-hd - Al-jreebh
السويهره - الرمادي,Al Suwayhira - Al-ramady,As-sweehrh - Ar-rmadee
الشبارة - العويضه,Al-Shabara - Al-Awidah,Ash-shbarah - Al-'weedh
الشقيراء - العقيده السفلى,Al-Shuqayra - Al-'Aqidah Al-Sufla,Ash-shqeera' - Al-'qeedh alsfla
جسر رسيان - القماريه,Rasian Bridge - Al-Qamariya,Jsr rsyan - Al-qmareeh
الجبيه,al-Jubayyah,Al-jbeeh
وادي سعاده - شعب الفقيــه,Wadi Sa'adah - Sha'ab al-Faqih,Wady s'adh - Sh'b alfqeeh
العارضه - هجم العجل,Al-'Arida - Hajam Al-'Ajal,Al-'ardh - Hjm al'jl
الكربه - الزيديه,Al-Karbah - Al-Zaidiyah,Al-krbh - Az-zeedeeh
عسق - الشريج,Asaq - Al-Sharij,'sq - Ash-shreej
وادي الشط - النوبه,Wadi al-Shatt - al-Nuba,Wady alsht - An-noubh
الحياجي,Al-Hayaji,Al-hyajee
المقيصع - الهطيط,Al-Muqaysi' - Al-Hutayt,Al-mqees' - Al-hteet
وادي مكسب - الملعب الاسفل,Wadi Makasab - Al-Mal'ab Al-Asfal,Wady mksb - Al-ml'b alasfl
العفيرة - المناقد,Al-Afira - Al-Manaqid,Al-'feerah - Al-mnaqd
العقمه - الجريبه,Al-Aqmah - Al-Juraybah,Al-'qmh - Al-jreebh
الدييمه - البطاح,Al-Daymah - Al-Bataah,Ad-dyeemh - Al-btah
الكدحه - الجاهلي,Al-Kadha - Al-Jahili,Al-kdhh - Al-jahlee
بني حجاج - المرتفعات,Bani Hajjaj - Al-Murtafa'at,Bny hjaj - Al-mrtf'at
بني حجاج - اكمه الحمر,Bani Hajjaj - Akmah Al-Hamr,Bny hjaj - Akmh alhmr
مقبنه - الرون,Maqbanah - Al-Rawan,Mqbnh - Ar-roun
الذنبه,Al-Dhanbah,Adh-dhnbh
بني حجاج - الصفا,Bani Hajjaj - Al-Safa,Bny hjaj - As-sfa
نمره - نجدالمعينه,Nimrah - Najd Al-Mu'aynah,Nmrh - Njdalm'eenh
موزع - اللحوج,Mawza' - Al-Lahuj,Mouz' - Al-lhouj
مبتعه - المعيانه,Mabta'ah - Al-Mu'ayyanah,Mbt'h - Al-m'yanh
الصـويره - العارضة,Al-Sawera- Al-Ardah,As-sweerh - Al-'ardah
الزهيرة, Al-Zuhaira,Az-zheerah
الكويحه - الحضين,Al-Kuwayhah - Al-Hadhin,Al-kweehh - Al-hdeen
الحجيره - المصافره,Al-Hujayrah - Al-Musafirah,Al-hjeerh - Al-msafrh
عسق - شعبة النقيل,Asaq - Sha'bat Al-Naqil,'sq - Sh'bah alnqeel
الطوير - الزهيب,Al-Tuwair - Al-Zuhayb,At-tweer - Az-zheeb
عسق,Asaq,'sq
الشاذلية - العراعر,Al-Shadhiliyah - Al-Ara'ir,Ash-shadhlyah - Al-'ra'r
العفيرة - الحرضة,Al-Afira - Al-Harada,Al-'feerah - Al-hrdah
العارضه - المروى,Al-'Arida - Al-Marwa,Al-'ardh - Al-mroua
الصنمه - المسماره,Al-Sanmah - Al-Masmarah,As-snmh - Al-msmarh
المقلب - الذنبه,Al-Maqlab - Al-Dhanbah,Al-mqlb - Adh-dhnbh
المغدر,Al-Maghdar,Al-mghdr
الغوبقه - الهندى,Al-Ghubaqah - Al-Hindi,Al-ghoubqh - Al-hnda
العارضه - ضبيره,Al-'Arida - Dhabira,Al-'ardh - Dbeerh
القطين - قراضـه,AL-Qateen - Qaradha,Al-qteen - Qradh
مبتعه - الرفصه,Mabta'ah - Al-Rafsah,Mbt'h - Ar-rfsh
الصنمه - شط معوضه,Al-Sanmah - Shat Mu'awwah,As-snmh - Sht m'oudh
بني مليك - نوبة شقفات,Bani Malik - Nawbat Shaqfat,Bny mleek - Noubah shqfat
وادي المعقم - الغول,Wadi Al-Mu'aqam - Al-Ghul,Wady alm'qm - Al-ghoul
نوبة عامر - حصب الكامل,Nawbat Amer - Hasab Al-Kamil,Noubah 'amr - Hsb alkaml
الكويحه - اكمه الرماد,Al-Kuwayhah - Akmat Al-Ramad,Al-kweehh - Akmh alrmad
وادي مكسب - حجفت,Wadi Makasab - Hajfat,Wady mksb - Hjft
الازيود - الروينة,Al-Azyoud - Al-Ruwayna,Al-azyoud - Ar-rweenah
وادي البير - شعبة الحادي,Wadi Al-Bir - Sha'bat Al-Hadi,Wady albeer - Sh'bah alhadee
العريش - الروقين,Al-Arish - Al-Ruqayn,Al-'reesh - Ar-rouqeen
جحزر - الدمينية,Jahzar - Al-Dumayniya,Jhzr - Ad-dmeenyah
الجبال - الصرادح,Al-Jibal - Al-Saradih,Al-jbal - As-sradh
الجبيه - المكيمل,al-Jubayyah - al-Mukaymil,Al-jbeeh - Al-mkeeml
الدوش - العواس,Al-Doush - Al-Awas,Ad-doush - Al-'was
يعاقبه - حصب المحرق,Yaaqaba - Hasb almahriq,Y'aqbh - Hsb almhrq
محاطبه - الشهريه,Mahatabah - Al-Shahriyah,Mhatbh - Ash-shhreeh
النوازل - كفائه,Al-Nawazil - Kafa'a,An-nwazl - Kfaeeh
جحزر - البانة,Jahzar - al-Bana,Jhzr - Al-banah
المقلب - الخويفه,Al-Maqlab - Al-Khuwayfah,Al-mqlb - Al-khweefh
المخاء - عبد القادر,Al-Mukha - 'Abd Al-Qadir,Al-mkha' - 'bd alqadr
رداع - محروضه,Rada-Mahroudah,Rda' - Mhroudh
الذنبه,Al-Dhanba,Adh-dhnbh
القشعه - الرشحه,Al-Qash'ah - Al-Rashah,Al-qsh'h - Ar-rshhh
الميدان - شعب الحاج,Al-Midan - Shaab Al-Hajj,Al-meedan - Sh'b alhaj
الحيمه - الدلعمه,Al-Haymah - Al-Dal'amah,Al-heemh - Ad-dl'mh
قناهو بن علي - الحقيبه,Qanahu Bin Ali - Al-Haqiba,Qnahw bn 'lee - Al-hqeebh
الحقل,Al-Haqal,Al-hql
يختل - حسى كليب,Yakhtal - Hassi Kulayb,Ykhtl - Hsa kleeb
بني حجاج - المحليه,Bani Hajjaj - Al-Mahaliyah,Bny hjaj - Al-mhleeh
مقدم راس - المعيصر,Muqaddam Ras - Al-Mu'aysir,Mqdm ras - Al-m'eesr
بوميه - المعمل,Bumiya - Al-Ma'mal,Boumeeh - Al-m'ml
الضيجه - الشقتين,Ad-Dhayjah - Ash-Shuqatayn,Ad-deejh - Ash-shqteen
الغرافي - الشبيقات,Al-Gharrafi - Al-Shabiqat,Al-ghrafee - Ash-shbeeqat
بني حجاج - الحناني,Bani Hajjaj - Al-Hanani,Bny hjaj - Al-hnanee
يفرس - السوق,Yafrus - Al-Suq,Yfrs - As-souq
العارضه - شعب الظافر,Al-'Arida - Sha'b Al-Dhafir,Al-'ardh - Sh'b alzafr
الطليله - حصيب طليل,Al-Talilah - Hasib Talil,At-tleelh - Hseeb tleel
جحزر - القطنى,Jahzar - al-Qatni,Jhzr - Al-qtna
الخنهه,Al-Khanah,Al-khnhh
الجبيه - الوسيطان,al-Jubayyah - al-Wasitayn,Al-jbeeh - Al-wseetan
النوازل - الصلعـي,Al-Nawazil - Al-Sal'i,An-nwazl - As-sl'ee
الغيل - الشعيب,Al-Ghayl - Al-Shuaib,Al-gheel - Ash-sh'eeb
العراعر - نجد العراعر,Al-Ara'ir - Najd Al-Ara'ir,Al-'ra'r - Njd al'ra'r
الغيل - الرواع,Al-Ghayl - Al-Rawaa,Al-gheel - Ar-rwa'
مقبنه - خرشبه,Maqbanah - Kharshaba,Mqbnh - Khrshbh
قناهو بن علي - بوكرة قناهو,Qanahu Bin Ali - Buqra Qanahu,Qnahw bn 'lee - Boukrah qnahou
الغيل - العقيقين,Al-Ghayl - Al-Aqiqayn,Al-gheel - Al-'qeeqeen
السويداء - السكرنة,Al-Suwayda' - Al-Sukranah,As-sweeda' - As-skrnah
الجبال,Al-Jibal,Al-jbal
بني حجاج - العجل,Bani Hajjaj - Al-Ajal,Bny hjaj - Al-'jl
الكدمه - العلقميه,Al-Kadmah - Al-Alqamiyah,Al-kdmh - Al-'lqmeeh
وادي بكير,Wadi Bakir,Wady bkeer
بني علي - القرف,Bani Ali - Al-Qarf,Bny 'lee - Al-qrf
بني عامر - الاهواب,Bani Amer - al-Ahwab,Bny 'amr - Al-ahwab
الطوير - المحور,Al-Tuwair - Al-Mahwar,At-tweer - Al-mhour
الغيل - الفقوة,Al-Ghayl - Al-Faqwa,Al-gheel - Al-fqwah
حنه العليا - الطويران,Hanna Al-Ulya - Al-Tuwairan,Hnh al'lya - At-tweeran
حصيب المهوق - طرة البرقعه,Hasib Al-Mahouq - Tarrah Al-Burqa'ah,Hseeb almhouq - Trah albrq'h
بني علي - الهيجة,Bani Ali - Al-Hejah,Bny 'lee - Al-heejah
بحاره - الكدحه,Bahara - Al-Kadha,Bharh - Al-kdhh
مقدم راس - الدعامه,Muqaddam Ras - Al-Da'amah,Mqdm ras - Ad-d'amh
الطبيليه,Al-Tabiliyah,At-tbeeleeh
الحياجي - الحمرة,Al-Hayaji - Al-Hamra,Al-hyajee - Al-hmrah
الاقروض - النجـد,Al-Aqrouth -Al-Najd,Al-aqroud - An-njd
الردف - شرج الذئب,Al-Radf - Sharj Al-Dhib,Ar-rdf - Shrj aldheeb
الكديحة - الجديدة,Al-Kadiha - Al-Jadidah,Al-kdeehah - Al-jdeedah
الشبارة - الحصينه,Al-Shabarah - Al-Husaynah,Ash-shbarah - Al-hseenh
موزع - المداره,Mawza' - Al-Madarah,Mouz' - Al-mdarh
العفيرة - الغبيل,Al-Afirah - Al-Ghabil,Al-'feerah - Al-ghbeel
بني حجاج - الاكمة,Bani Hajjaj - Al-Akmah,Bny hjaj - Al-akmah
مبتعه - المحابيه,Mubta'a - Al-Mahabiya,Mbt'h - Al-mhabeeh
الضيجه - القبه,Ad-Dhayjah - Al-Qubbah,Ad-deejh - Al-qbh
بني دريغم - المسبعه,Bani Drigham - Al-Musab'a,Bny dreeghm - Al-msb'h
الحريقيه,Al-Hariqiya,Al-hreeqeeh
الزغبري - دار صالح,Al-Zaghbari - Dar Saleh,Az-zghbree - Dar salh
الخيفه - دهل الديمه,al-Khaifah - Dahl al-Dima,Al-kheefh - Dhl aldeemh
الغوبقه - الردع,Al-Ghubaqah - Al-Rad',Al-ghoubqh - Ar-rd'
الحجافيه - داردعسين,Al-Hajafiyah - Darda'sin,Al-hjafeeh - Dard'seen
ذي البرع - القحفــه,Thee Al-Bara-Al-Qahfah,Dhy albr' - Al-qhfh
الكديحة - الباقرية,Al-Kadihah - Al-Baqiriyah,Al-kdeehah - Al-baqryah
الشقيراء - الكعوب الاعلى,Al-Shaqira' - Al-Ka'ub Al-A'la,Ash-shqeera' - Al-k'oub ala'la
العقمه - المزحاجه,Al-Aqmah - Al-Mazhajah,Al-'qmh - Al-mzhajh
الكربه - الاجن,Al-Karbah - Al-Ajan,Al-krbh - Al-ajn
الغرافي - دومة الصبيحي,Al-Gharrafi - Dumat Al-Subaihi,Al-ghrafee - Doumah alsbeehee
وادي بكير - الهقيف,Wadi Bakir - Al-Haqif,Wady bkeer - Al-hqeef
جعاشي - القاردة,Ja'ashi - Al-Qarda,J'ashee - Al-qardah
وادي البير - الاطراف,Wadi Al-Bir - Al-Atraf,Wady albeer - Al-atraf
الجريب - طوره,Al-Jarib - Turah,Al-jreeb - Tourh
الشقيراء - شعب قيس,Al-Shuqayra - Sha'b Qays,Ash-shqeera' - Sh'b qees
نمره - رزيقه,Nimrah - Raziqah,Nmrh - Rzeeqh
شعبو - الشنيرج,Sha'bo - Al-Shanirj,Sh'bou - Ash-shneerj
الغيل - العزيبه,Al-Ghayl - Al-Aziba,Al-gheel - Al-'zeebh
وادي بكير - سوق الحر,Wadi Bakir - Suq Al-Hur,Wady bkeer - Souq alhr
الحيمه - المجاربة,Al-Haymah - Al-Majaribah,Al-heemh - Al-mjarbah
القطين - الصرم,AL-Qateen - Al-Sarim,Al-qteen - As-srm
الحمراء - ذياب,Al-Hamra - Dhiab,Al-hmra' - Dhyab
جعاشي - المزرعة,Ja'ashi - Al-Mazra'a,J'ashee - Al-mzr'ah
الصنمه - حريزه,Al-Sanmah - Harizah,As-snmh - Hreezh
المقيصع - المطهف,Al-Muqaysi' - Al-Mutahhaf,Al-mqees' - Al-mthf
بني عامر - حدابه,Bani Amer - Hadaba,Bny 'amr - Hdabh
جسر رسيان - الحقيره,Rasian Bridge - Al-Haqira,Jsr rsyan - Al-hqeerh
الشعيب - البريح,Al-Shuaib - Al-Barih,Ash-sh'eeb - Al-breeh
الطوير - الكدف,Al-Tuwair - Al-Kadf,At-tweer - Al-kdf
نمره - جبل الشعبي,Nimrah - Jabal Al-Sha'bi,Nmrh - Jbl alsh'bee
الموسنه - دارالكدف,Al-Musinah - Dar Al-Kadif,Al-mousnh - Daralkdf
الدوش - الغيبر,Al-Doush - Al-Ghaybar,Ad-doush - Al-gheebr
البليلي - الدربوش,Al-Balili - Al-Darboush,Al-bleelee - Ad-drboush
العفيرة - القريعاء,Al-Afirah - Al-Qari'ah,Al-'feerah - Al-qree'a'
بني حجاج - الوطيف,Bani Hajjaj - Al-Watif,Bny hjaj - Al-wteef
السويداء - السادحي,Al-Suwayda' - Al-Sadhi,As-sweeda' - As-sadhee
الغيل - الضويحه,Al-Ghayl - Al-Dhuwayha,Al-gheel - Ad-dweehh
الكدحه - الحيدريه,Al-Kadha - Al-Haydariya,Al-kdhh - Al-heedreeh
الوحيز - الرقيصه,Al-Wahiz - Al-Raqisa,Al-wheez - Ar-rqeesh
الرويس,Al-Ruways,Ar-rwees
الصـويره - المعصرة,Al-Sawerah-Al-Ma'asrah,As-sweerh - Al-m'srah
الازيود - الضباية,Al-Azyoud - Al-Dhabaya,Al-azyoud - Ad-dbayah
ذي البرع - الكـدف,Thee Al-Bara-Al-Kadf,Dhy albr' - Al-kdf
شعبو - اللجيعه السفلى,Sha'bu - Al-Laji'ah Al-Sufla,Sh'bou - Al-ljee'h alsfla
الدوش - الحنجره,Al-Doush - Al-Hanjara,Ad-doush - Al-hnjrh
الرواع,Ar-Rawa',Ar-rwa'
الحييمة - هوب مجلي,Al-Haymah - Hub Majli,Al-hyeemah - Houb mjlee
وادي موثب - الرحاب,Wadi Muthab - Al-Rahab,Wady mouthb - Ar-rhab
العارضه - المناوب,Al-'Arida - Al-Munawwab,Al-'ardh - Al-mnaoub
نمره - ذي الشهران,Nimrah - Dhi Al-Shahrani,Nmrh - Dhy alshhran
العريش - الرشيح الاسفل,Al-Arish - Al-Rashih Al-Asfal,Al-'reesh - Ar-rsheeh alasfl
بني دريغم - الدمسي,Bani Drigham - Al-Damsi,Bny dreeghm - Ad-dmsee
السيمال,Al-Simal,As-seemal
بوميه - كيزه,Bumiya - Kiza,Boumeeh - Keezh
الحجافيه - جبل البعيصي,Al-Hajafiyah - Jabal Al-Ba'isi,Al-hjafeeh - Jbl alb'eesee
الطوير - شعب البيرك,Al-Tuwair - Sha'ab Al-Birk,At-tweer - Sh'b albeerk
الطوير - المحمر,Al-Tuwair - Al-Muhammar,At-tweer - Al-mhmr
شبيه - الجرزين,Shabih - Al-Jarzeen,Shbeeh - Al-jrzeen
موزع - اليمينه,Mawza' - Al-Yaminah,Mouz' - Al-ymeenh
المخاء - الجعدي,Al-Mukha - Al-Ja'di,Al-mkha' - Al-j'dee
وادي الاحمر - شعب دعام,Wadi Al-Ahmar - Sha'b Da'am,Wady alahmr - Sh'b d'am
جريزه - شراط,Jariza - Sharat,Jreezh - Shrat
الشبارة - عقيلة,Al-Shabarah - Aqilah,Ash-shbarah - 'qeelah
الصـويره - قحفه العيدروس,Al-Sawerah-Qahfat Al-Aidaroos,As-sweerh - Qhfh al'eedrous
الحرثه - المحور,Al-Harthah - Al-Mahwar,Al-hrthh - Al-mhour
جسر رسيان - الودن,Rasian Bridge - Al-Wadan,Jsr rsyan - Al-wdn
النوبه,Al-Nawba,An-noubh
المعامرة - الحفره,Al-Ma'amrah - Al-Hafra,Al-m'amrah - Al-hfrh
بني دريغم - المشقبه,Bani Drigham - Al-Mashqaba,Bny dreeghm - Al-mshqbh
بني عامر - مهلومين,Bani Amer - Mahlumin,Bny 'amr - Mhloumeen
الصنمه - العراميه,Al-Sanmah - Al-'Aramiyah,As-snmh - Al-'rameeh
الكديحة - الحسنيه,Al-Kadihah - Al-Hasaniyah,Al-kdeehah - Al-hsneeh
القشعه - زبيد,Al-Qash'ah - Zubayd,Al-qsh'h - Zbeed
الصنمه - الحصب,Al-Sanmah - Al-Hasab,As-snmh - Al-hsb
عسق - المنزله,Asaq - Al-Manzilah,'sq - Al-mnzlh
نوبة عامر,Nawbat Amer,Noubah 'amr
وادي سعاده - المصيرع,Wadi Sa'adah - al-Musayri',Wady s'adh - Al-mseer'
هوب  الوقيع - المقيبرة,Hub Al-Waqi' - Al-Muqaybira,Houb alouqee' - Al-mqeebrah
وادي بكير - الصابريه,Wadi Bakir - Al-Sabriya,Wady bkeer - As-sabreeh
بني حجاج - الغرسه,Bani Hajjaj - Al-Gharasah,Bny hjaj - Al-ghrsh
الشبارة - النجيبة,Al-Shabarah - Al-Najibah,Ash-shbarah - An-njeebah
بني حجاج - شعبه هاربه,Bani Hajjaj - Sha'bat Harbah,Bny hjaj - Sh'bh harbh
الصـويره - الدارات,Al-Sawerah-Al-Darat,As-sweerh - Ad-darat
الطفيلي - قبنه,Al-Tufayli - Qubnah,At-tfeelee - Qbnh
بني حجاج - المقداحه,Bani Hajjaj - Al-Maqdaha,Bny hjaj - Al-mqdahh
الغوبقه - الجنيجره,Al-Ghubaqah - Al-Junayjirah,Al-ghoubqh - Al-jneejrh
الطوير - المعترض,Al-Tuwair - Al-Mu'tarid,At-tweer - Al-m'trd
القطين - المحيلبة,Al-Qateen - Al-Mahilba,Al-qteen - Al-mheelbah
رهبه - الحروره,Rahbah - Al-Harura,Rhbh - Al-hrourh
الدوش - بيت رشاح,Al-Doush - Bayt Rashah,Ad-doush - Beet rshah
شعبو - الرحيبه,Sha'bo - Al-Rahibah,Sh'bou - Ar-rheebh
العقه,Al-Aqqa,Al-'qh
الصنمه - الزنح,Al-Sanmah - Al-Zanh,As-snmh - Az-znh
الكويحه - القحيفة,Al-Kuwayhah - Al-Qahifah,Al-kweehh - Al-qheefah
