input_skeleton,output_english
Alswyrh  alhwban,Al-Sawerah-Al-Hawban
hsyb alqwbh,Hasib Al-Qubbah
Almyhal,Al-Mihyal
Alswys,Al-Suways
Almsmarh,Al-Masmarah
Alqa'dh,Al-Qa'idah
Alrwa',Ar-Rawa'
Alhamly,Al-Hamli
Almzandh,Al-Mazanda
Alqhqah,Al-Qahqah
Almshqbh,Al-Mashqaba
Almqys',Al-Muqaysi'
Alhmrwr,Al-Hamrur
sylh alswda',Saylat Al-Sawda
Aldfnh,Al-Dafna
shbyh,Shabih
AlJb,Al-Jub
Aldraghmh,Al-Daraghmah
hsa klyb,Hassi Kulayb
Al'qmh,Al-Aqmah
Alkdhh,Al-Kadha
Alkdhh,Al-Kadha
dhyab,Dhiab
Alnwbh alshakryh,Al-Nuba Al-Shakriya
bny hJaJ,Bani Hajjaj
shrk,Shirk
AlhnJrh bdw rhl,Al-Hanjarah (Bedouin nomads)
Jsr rsyan,Rasian Bridge
Alhydan,Al-Haydan
AlJ'dy,Al-Ja'di
dard'syn,Darda'sin
hmr,Hamr
Alazywd,Al-Azyoud
AlJbyh,al-Jubayyah
Alwhyz,Al-Wahiz
Aldahyh,Al-dhahyah
Alshqyra',Al-Shuqayra
AlTwr,Al-Tur
Alkdhh,Al-Kadha
Albzyqh,Al-Baziqa
Almqys',Al-Muqaysi'
wady alahmr,Wadi Al-Ahmar
mqbnh,Maqbanah
Al'qmh,Al-Aqmah
Almhmry,Al-Muhammari
hsb al'zybh,Hasab Al-Aziba
rshyd,Rashid
Almghdr,Al-Maghdar
hnh al'lya,Hanna Al-Ulya
Al'fyrh,Al-Afira
akmh alhdadyn,Akmat Al-Haddadin
dhy albr'  hwb mbrd,Thee Al-Bara-Hob Mabrad
Alwhyz,Al-Wahiz
wahJh,Wahja
Aldar,Al-Dar
shrJ aldhyb,Sharj Al-Dhib
nmrh,Nimrah
hadyh,Hadhiyah
AlhJafyh,Al-Hajafiyah
Alhmra',Al-Hamra
hnh al'lya,Hannah Al-Ulya
Al'kdh,al-Akdah
khdyh,Khadiyah
Aldarbh,Al-Dhariba
Alrqh,Al-Raqqa
AlTwyr,Al-Tuwair
hnh al'lya,Hanna Al-Ulya
Alqa'dh,Al-Qa'idah
Alghyl,Al-Ghayl
Alkhrabh,Al-Kharaba
AlhyaJy,Al-Hayaji
y'aqbh,Yaaqaba
mqdm ras,Muqaddam Ras
AlqTyn,Al-Qatin
Al'ardh,Al-'Arida
Almghr bh,Al-Maghriba
Al'rysh,Al-Arish
Alshbarh,Al-Shabarah
Alk'wb ala'la,Al-Ka'ub Al-A'la
Aldlyfh,Al-Dulayfah
Alrba'nh,Al-Raba'nah
th'wbh,Tha'uba
Alm'amrh,Al-Ma'amara
Jbl aldamr,Jabal Al-Damir
Aldhhralasfl,Al-Dhahr Al-Asfal
Almbdhl,Al-Mabdhil
msh'ar nmrh,Mish'ar Nimrah
hJynh,Hajinah
Almbdhl,Al-Mabdhil
AlqTyf,Al-Qatif
Alrwdh,Ar-Rawda
Alshbarh,Al-Shabara
sh'bh alhady,Sha'bat Al-Hadi
Almratmh,Al-Maratimah
'qar,'Aqar
Alrkz,al-Rukz
Alswyda',Al-Suwayda'
AlqTyn,AL-Qateen
Alnwazl,Al-Nawazil
AlhyaJy,Al-Hayaji
Alghyl,Al-Ghayl
Alhsb,Al-Hasab
Almydan,Al-Midan
Jsr rsyan,Rasian Bridge
Al'ardh,Al-'Arida
hadyh,Hadhiyah
Alhsb,Al-Hasab
AlTwyr,Al-Tuwair
Alsdh,Al-Sadda
bharh,Bahara
AlhJaJ,Al-Hajjaj
hdarh,Haddara
hsy bn 'lwan,Hassi Bin Alwan
Alshbarh,Al-Shabarah
AlTwyr,Al-Tuwair
Alakmh,Al-Akma
Jbl alhkymh,Jabal al-Hakimah
Alzghbry,Al-Zaghbari
AlaJraf,al-Ajraf
Alghawa,Al-Ghawy
Alfatrh,Al-Fatira
AllhwJ,Al-Lahuj
sh'bw,Sha'bu
akmh alhsh,Akmat Al-Hassa
Alqsh'h,Al-Qash'ah
shns,Shans
Alsh'yb,Al-Shu'ayb
bny hJaJ,Bani Hajjaj
AlJrbh,Al-Jarba
Alsradh,Al-Saradih
Aladrws,Al-Adrous
AlTahry,Al-Tahir
Alghyl,Al-Ghayl
Alshbarh,Al-Shabarah
AlrJhh,Al-Rajhah
wady alm'qm,Wadi Al-Mu'aqam
Alhafh al'lya,Al-Hafah Al-Ulya
Albradh,Al-Barada
Albwq,Al-Buq
Alrhb,Al-Rahab
hbwh almdd,Habwah Al-Madad
AlJmynh,al-Jaminah
bny mlyk,Bani Malik
kbh alqwbz,Kubbat al-Qubz
y'aqbh,Yaaqaba
Alrba'nh,Al-Raba'nah
b'shyrh,Ba'shirah
Almqlb,Al-Maqlab
AldyJh,Ad-Dhayjah
Alqhfh,Al-Qahfah
Alhdalh,Al-Hadalah
Alsnmh,Al-Sunmah
Almqydyhh,Al-Muqaydihah
Al'fyrh,Al-Afira
Aldhhrh,Al-Dhahra
bny hJaJ,Bani Hajjaj
AlhTyb,Al-Hutaib
Alrkz,al-Rukz
Alhymh,Al-Haymah
bny dryghm,Bani Drigham
Alqwadr,Al-Qawadir
bny dryghm,Bani Drigham
wady s'adh,Wadi Sa'adah
Alt'brh,At-Ta'barah
hsb alnqwd,Hasab Al-Nuqud
shbyh,Shabih
Almzbr,al-Mazbar
qrf alhadyh,Qarf Al-Hadiya
Alhrwrh,Al-Harura
Almdhaly',Al-Madhali'
Alhamly,Al-Hamli
'zan,Azzan
AlmTarshh,Al-Matarsha
Albkrh,Al-Bakrah
Almlk,Al-Malik
Almqld,Al-Muqallad
Almqys',Al-Muqaysi'
Almqlb,Al-Maqlab
Jbl al'mry,Jabal Al-Amri
Alqhfh,Al-Qahfah
hnh al'lya,Hanna Al-Ulya
Alrwa',Ar-Rawa'
wady s'adh,Wadi Sa'adah
Alnwbh,Al-Nubah
khwsanh,Khawsana
Alazywd,Al-Azyoud
Aldhnbh,Al-Dhanbah
Albyda',al-Bayda'
Alhthn,Al-Hathn
Alkhafshyh,Al-Khafshiyah
bny 'amr,Bani Amer
Alqb'h,al-Qubba'a
AlTlylh,Al-Talilah
rhadh al'lya,Rahadah Al-'Ulya
sh'bw,Sha'bu
Alghrafy,Al-Gharrafi
Aldrbany,Al-Darbani
nJd alshlba,Najd al-Shalabi
Aldhnbh,Al-Dhanba
AlshTyn,al-Shattin
Alswyhrh,Al Suwayhira
hnh al'lya,Hanna Al-Ulya
Alhryqyh,Al-Hariqiya
bny 'amr,Bani Amer
byr aldlw,Bir Al-Dalu
Aldabwlya,Al-Daboulia
Alnwbh,Al-Nawba
sh'b hzam,Sha'b Hizam
Alswyhrh,Al Suwayhira
y'aqbh,Yaaqaba
wahJh,Wahjah
Al'fyrh,Al-Afira
Alswyrh  qhfh al'ydrws,Al-Sawerah-Qahfat Al-Aidaroos
Alkhrayb,Al-Khara'ib
Alkwyhh,Al-Kuwayhah
Alkhnhh,Al-Khanah
Alkwyhh,Al-Kuwayhah
Alkdmh,Al-Kadmah
AlhJafyh,Al-Hajafiyah
'rydan,Aridan
Jzyrh mywn,Jazirat Mayyun
Almkyml,al-Mukaymil
Alsahrh,Al-Sahira
Almbdhl,Al-Mabdhil
Jwyb,Juwayb
bny mlyk,Bani Malik
Alhmra',Al-Hamra
Alm'srh,Al-Ma'sara
Al'ardh,Al-'Arida
hadyh al'lya,Hadhiya al-Ulya
bas'd,Bas'ad
nwbh 'amr,Nawbat Amer
Al'qh,Al-Aqah
Alrkb,al-Rakb
AlmJzrh,Al-Majzarah
hadyh,Hadhiyah
Alhamly,Al-Hamli
Aldkhyl,Al-Dakhil
Algharb,Al-Gharib
bny mlyk,Bani Malik
AlTfyly,Al-Tufayli
Alhsh,Al-Hisah
Alhlybh,Al-Hulaybah
'qmh alshqh,Aqmah Al-Shaqqah
Alsh'yb,Al-Shu'aib
bny mlyk,Bani Malik
Alwhyz,Al-Wahiz
hyJh hqr,Hayjah Haqr
wady s'adh,Wadi Sa'adah
AlJdyd,Al-Jadeed
Jryzh,Jariza
Alshqyra',Al-Shuqayra
Almzandh,Al-Mazanda
Alsnmh,Al-Sanmah
Alswyda',Al-Suwayda'
Almqas',Al-Maqasa'
Alghrafy,Al-Gharrafi
Alddh,al-Dhadhah
Alhdabyh,Al-Hadabiyah
Alhd,Al-Had
Alrshyh ala'la,Al-Rashih Al-A'la
hsyb yasyn,Hasib Yasin
Al'ardh,Al-'Arida
AlTwyr,Al-Tuwair
AlrJmh,Al-Rajma
Alkdyhh,Al-Kadihah
Aldmynyh,Al-Dumayniya
Aldhra',Al-Dhra'
Alsl'y,Al-Sal'i
AlywaJd,al-Yawajid
AlhlJwm,Al-Haljum
Alsfalyh,Al-Safaliyah
qnahw bn 'ly,Qanahu Bin Ali
Alkhnhh,Al-Khanah
Alghyl,Al-Ghayl
Alhdbh,Al-Hadbah
AlrJhh,Al-Rajhah
Alsfalyh,Al-Safaliyah
Almqys',Al-Muqaysi'
Alfhyshyh,Al-Fahishiya
shT 'ly,Shat Ali
rsafh,Rasafah
Alsnmh,Al-Sunmah
Alshbarh,Al-Shabarah
Alsh'byn,Al-Sha'been
Aldraby,Al-Darabi
Alabrah,Al-Abrah
Alswyhrh,Al Suwayhira
Almqlb,Al-Maqlab
Al'qmh,Al-Aqmah
dhasr'yd,Dhasar 'Aid
bny 'amr,Bani Amer
AlTwr,al-Tur
AlnJyb,Al-Najib
bwmyh,Bumiya
Alhmydh,Al-Hamidah
J'ashy,Ja'ashi
Alakmh,Al-Akma
nwbh 'amr,Nawbat Amer
AlJbyh,al-Jubayyah
shbyh,Shabih
Almnqd,Al-Munqad
AldyJh,Ad-Dhayjah
AlqTyn,AL-Qateen
sh'b alhJyn,Sha'ab al-Hajin
Alkdf,Al-Kadif
Al'rJwsha,al-Arjushi
hzaz,Hazaz
wady alshT,Wadi al-Shatt
nmrh,Nimrah
AlmJz',Al-Majza'
Aldwsh,Al-Doush
Almzr'h,Al-Mazra'a
Alshklh,al-Shaklah
khbathh,Khabathah
hyJhJhlan,Hayjah Jahlan
Aldhnbh,Al-Dhanba
hnh,Hanna
Alfnah,Al-Fanah
Alrkz,al-Rukz
nmr,Nimr
Aldhah,Ad-Dahah
bwmyh,Bumiya
AlshrJ,Al-Sharj
Alfnkhh,Al-Fankhah
wady mksb,Wadi Makasab
AlhJaJyh,Al-Hajjajiyah
Alhsb,Al-Hasab
Alkdhh,Al-Kadha
mqdm ras,Muqaddam Ras
Al'dyba',Al-Adhiba
Alshadhlyh,Al-Shadhiliya
ykhtl,Yakhtal
Almghdr,Al-Maghdar
sh'bw,Sha'bu
bny 'ly,Bani Ali
Alghrafy,Al-Gharrafi
Alrwa',Ar-Rawa'
rhbh,Rahbah
Al'ardh,Al-Aridah
Almzandh,Al-Mazanda
wady s'adh,Wadi Sa'adah
hnh al'lya,Hanna Al-Ulya
AlqTnh,Al-Qatna
mqdm ras,Muqaddam Ras
Alhaly,Al-Hali
'rkbh,Arqaba
Alamlak,Al-Amlak
sh'b alrsd,Sha'b Al-Rasd
'sq,Asaq
Alsnyf,Al-Sunayf
Alzghbry,Al-Zaghbari
Alrdf,Al-Radf
Almrazm,Al-Marazim
Al'fyrh,Al-Afira
Almnydmh,Al-Munaydimah
Almnyhr,Al-Munayhir
Almwdqh,Al-Mawdaqah
AldyJh,Al-Dhayjah
Al'qmh,Al-Aqmah
Alghyl,Al-Ghayl
akmh 'thyman,Akmat Uthayman
AlJbyh,al-Jubayyah
ghyl alhadnh,Ghayl Al-Hadina
Almsh'aralasfl,al-Mish'ar al-Asfal
AlhTba,Al-Hatabi
Alghyl,Al-Ghayl
Alnwazl,Al-Nawazil
sh'b alzry'y,Sha'ab Al-Zari'i
bny hJaJ,Bani Hajjaj
Alhrthh,Al-Harthah
Twrh,Turah
Alsymal,Al-Simal
hmr,Hamr
shbyh,Shabih
'hwqh,Ahuqa
Alm'amrh,Al-Ma'amara
Alnwazl,Al-Nawazil
AlqTyn,AL-Qateen
Alghrafy,Al-Gharrafi
AlTwyr,Al-Tuwair
AlhJfh,Al-Hajfah
Alzghbry,Al-Zaghbari
y'aqbh,Yaaqaba
mqbnh,Maqbanah
AlmlahTh,Al-malahituh
AlJm'h,Al-Jum'ah
hsy salm,Hassi Salem
Alghyl,Al-Ghayl
Altmarh,Al-Tamarah
nmrh,Nimrah
AlTwyr,Al-Tuwair
Alzhyrh,Al-Zuhaira
hnh al'lya,Hanna Al-Ulya
Alzhyb,Al-Zuhayb
AlTwyr,Al-Tuwair
Alqrf,al-Qarf
abw asma'yl,Abu Isma'il
Almlhh,Al-Malhah
Alkrbh alsfla,Al-Karbah Al-Sufla
kyzh,Kiza
Alwhyz,Al-Wahiz
Almzahr,al-Mazahir
AlhTyT,Al-Hutayt
Alqdara,Al-Qadari
Alswyrh  shbarqh,Al-Sawerah-Shabarqah
sh'bw,Sha'bo
Alhnayh,al-Hanaya
AlshrJyn,Al-Sharjayn
Alsfalyh,Al-Safaliyah
Al'rysh,Al-Arish
AlTwyr,Al-Tuwair
nmrh,Nimrah
hryzh,Harizah
wady s'adh,Wadi Sa'adah
AlmThf,Al-Mutahhaf
mhaTbh,Mahatabah
AlJbyl,Al-Jubail
Alrdf,Al-Radf
Almbdhl,Al-Mabdhil
bny dryghm,Bani Drigham
mwz',Mawza'
AldyJh,Ad-Dhayjah
AlJm'h,Al-Jum'ah
dhy albr'  alksr,Thee Al-Bara-Al-Kasr
Al'qmh,Al-Aqmah
Alzghbry,Al-Zaghbari
Alghrsh,Al-Gharasah
Alqsh'h,Al-Qash'ah
Alswfh,al-Sufah
Alrwn,Al-Rawan
Twrbsyr,Turbasir
Almqys',Al-Muqaysi'
AlhJyfh,Al-Hujayfah
Alkwyhh,Al-Kuwayhah
Alshbarh,Al-Shabarah
Alqsh'h,al-Qash'ah
Alghrafy,Al-Gharrafi
wady albyr,Wadi Al-Bir
Aldfyryh,Al-Dhafiriya
byr hnysh,Bir Hanish
Alghyl,Al-Ghayl
labh,Labah
AlwTn,Al-Watan
Almzandh,Al-Mazanda
J'ashy,Ja'ashi
mhwTw,Mahut
Alnshyfh,An-Nashifa
Alswyda',Al-Suwayda'
hdarh,Haddara
bny dryghm,Bani Drigham
hdbh nqyT,Hadbah Naqit
Alrhybh,Al-Rahibah
Al'raqy,Al-'Iraqi
Almnasb,Al-Manasib
mqdm ras,Muqaddam Ras
Alghyl,Al-Ghayl
wady mksb,Wadi Makasab
Al'ra'r,Al-Ara'ir
Al'qwrh,Al-'Aqurah
hnh al'lya,Hanna Al-Ulya
Jhzr,Jahzar
Al'fyrh,Al-Afira
Almkhas',Al-Makhasa
sh'bh alnJd,Sha'bat al-Najd
wady albyr,Wadi Al-Bir
Aldbh,Al-Dhabah
Alrwynh,Al-Ruwayna
Alghryf,Al-Gharif
AlTwyr,Al-Tuwair
Aldkhl,Al-Dakhil
Alkrbh,Al-Karba
Alswyda',Al-Suwayda'
Almghdr,Al-Maghdar
Alswyhrh,Al-Suwayhirah
bny 'amr,Bani Amer
Alhfydhh,Al-Hafizah
bny hJaJ,Bani Hajjaj
Ald'amh,Al-Da'amah
Alfrykhh,Al-Farikha
Alsnmh,Al-Sanmah
Almdrwk,Al-Madrouk
Jsr rsyan,Rasian Bridge
Alm'ayn,Al-muaeen
Alqr,Al-Qar
Alqsh'h,Al-Qash'ah
AlTwyr,Al-Tuwair
rhbh,Rahbah
Alqsh'h,Al-Qash'ah
qrhh,Qarhah
Al'shyrh,Al-Ashira
Almqys',Al-Muqaysi'
sh'bw,Sha'bu
Alqhaf,Al-Qahaf
Aldhry',Al-Dhari'
Al'dayn,Al-Adain
Al'ryq,Al-Areeq
AlJdbh,al-Jadbah
Al'qyr,Al-Aqir
mqdm ras,Muqaddam Ras
Alshqyra',Al-Shaqira'
qry',Qari'
Almshrfh,Al-Mushrifa
Alhyymh,Al-Haymah
AlJryb,Al-Jarib
sh'b swylm,Sha'b Suwaylim
AlhJyrh,Al-Hujayrah
y'aqbh,Yaaqaba
AlJryb,Al-Jarib
hlysh,Halisah
Allsanyh,Allisanih
Alkhraf,Al-Kharaf
Aldmsy,Al-Damsi
Alswyda,Al-Suwaida
wady alm'qm,Wadi Al-Mu'aqam
Aldhym,Al-Duhaym
AlshJyn,Al-Shajin
wady alm'qm,Wadi Al-Mu'aqam
Alkrbh,Al-Karbah
Almzandh,Al-Mazanda
shr,Sahar
AlrJah,Ar-Rajah
AlJrwbh,Al-Jarouba
wady mwthb,Wadi Muthab
Almqdy,Al-Maqdi
Alqhyzh,Al-Qahizah
Albanh,al-Bana
Aldmdm,Al-Damdam
Alqry'a',Al-Qari'ah
Alsrarh,Al-Sarrah
Al'qmh,Al-Aqmah
Alshwsrh,Al-Shawsirah
bny alhkm,Bani Al-Hakam
Al'dynh,Al-Adina
Alqhaf,Al-Qahaf
AlTwyr,Al-Tuwair
Al'rysh,Al-Arish
Alqsh'h,al-Qash'a
wady Jdar,Wadi Jidar
Alsnmh,Al-Sanmah
AlqTnh,Al-Qatna
Alkhbah,Al-Khabah
Alqsh'h,Al-Qash'ah
AlhJafyh,Al-Hajafiyah
qbqbh,Qabqabah
Alkhyfh,al-Khaifah
Alnwazl,Al-Nawazil
Jrnzh,Jarnazah
AlshryJ,Al-Sharij
Jbl alhkymh,Jabal Al-Hakimah
rda'  almydan,Rada-Al-Maydan
AlqTnh,Al-Qatna
Alatymh,Al-Atima
Almrb'h,Al-Murabba'a
Alghwl,Al-Ghul
Aldar,Al-Dar
mwz',Mawza'
Al'ardh,Al-Ardah
Al'shh,Al-Ashah
Jbl al'mry bdw rhl,Jabal Al-'Umari (Bedouin nomads)
Alshbab,Al-Shabab
Alblyly,Al-Balili
Al'qmh,Al-Aqmah
Almsyr',al-Musayri'
Alsh'yb,Al-Shuaib
AlshT,Al-Shatt
Alhsnyh,Al-Hasaniyah
hsy salm,Hassi Salem
Alkdrh,Al-Kadrah
Aldrbwsh,Al-Darboush
AldyJh,Ad-Dhayjah
Almys'h,Al-Maysa’a
Alkhnyf,Al-Khanif
wady alshT,Wadi Al-Shatt
Alrdf,Al-Radf
shbyh,Shabih
hnh al'lya,Hannah Al-Ulya
mbt'h,Mabta'ah
Aldyymh,Al-Daymah
Alkdam,Al-Kadam
Aldyymh,Al-Daymah
sh'b alhshwr,Sha'ab Al-Hashur
bny dryghm,Bani Drigham
AlnJlh,Al-Najlah
AlTwyr,Al-Tuwair
shrh,Sharh
Alsrwah,Al-Sarwah
AlhJyJ,al-Hajjaj
'bdalqadr,Abdul Qadir
Jbl hazmy,Jabal Hazmi
Alghryf,Al-Gharif
AlwTyf,Al-Watif
Alghyl,Al-Ghayl
Alhrzh,Al-Harzah
Alkdhh,Al-Kadha
Al'rysh,Al-Arish
AlwsyTan,al-Wasitayn
Almkhshb,Al-Mukhshab
rda'  mhrwdh,Rada-Mahroudah
bny 'amr,Bani Amer
AlJbanh,Al-Jubana
Alfqrh,Al-Faqrah
Albarz,Al-barez
dar alkhbt,Dar Al-Khabt
Alqardh,Al-Qarda
bny dryghm,Bani Drigham
byr malk,Bir Malik
AlrhyTh al'lya,Al-Rahitah Al-'Ulya
Al'masy,Al-Amasi
Al'rydyd,Al-'Aridid
Alrba'nh,Al-Raba'nah
Albark,al-Barak
AldyJh,Ad-Dhayjah
Al'rJwsh,Ar-'Arjush
rhbh,Rahbah
awJafh,Awjafa
Alswyhrh,Al Suwayhira
Alghyl,Al-Ghayl
Jbl alhkymh,Jabal al-Hakimah
hJyJ,Hajij
AlhJafyh,Al-Hajafiyah
J'ashy,Ja'ashi
AlhJaryh,Al-Hajariya
wady mwthb,Wadi Muthab
Almhywb,al-Mahyoub
hsy salm,Hassi Salem
sh'bw,Sha'bu
wady s'adh,Wadi Sa'adah
Alsh'b,Al-Sha'b
'rakbh,'Arakbah
J'ashy,Ja'ashi
Alhdbh al'lya,Al-Hadbah Al-'Ulya
Alswyda',Al-Suwayda'
Alabrhh,Al-Abraha
qnahw bn 'ly,Qanahu Bin Ali
Jryzh,Jariza
bny alhkm,Bani Al-Hakam
AlJbyh,al-Jubayyah
Alhsyh,Al-Hasiya
AlJm'h,Al-Jum'ah
wady alrwy'y,Wadi Al-Ruwa'i
Alzrybh,Al-Zariba
Almkha',Al-Mukha
hmr,Hamr
hnh al'lya,Hanna Al-Ulya
Jbl alhkymh,Jabal Al-Hakimah
Aldhahrh,Al-Dhahira
AlJryb,Al-Jarib
Jbl aldbyzl,Jabal Al-Dubayzil
Alqshb,Al-Qashb
AldyJh,Al-Dhayjah
Alhbwh,Al-Habwa
Alshbarh,Al-Shabarah
Alkdmh,Al-Kadmah
Alqsh'h,Al-Qash'ah
Alghyl,Al-Ghayl
Alrwynh,Al Ruwayna
Alhql,Al-Haqal
nmrh,Nimrah
Al'shyrh,Al-Ashira
Alhd  aldwyhh,Al-Dhuwayhah
Al'fyrh,Al-Afirah
Alhsham,Al-Hasham
AlqTf,Al-Qatif
Al'rysh,Al-Arish
Almwsnh,Al-Musinah
wady alahmr,Wadi Al-Ahmar
wady alshT,Wadi Al-Shatt
hnh al'lya,Hanna Al-Ulya
Alshaqh,Al-Shaqa
hadyh,Hadhiyah
Alhd,Al-Had
wady mksb,Wadi Makasab
y'aqbh,Yaaqaba
Alshqyra',Al-Shaqira'
AlhJaryh,Al-Hajariya
nwbh shqfat,Nawbat Shaqfat
Alkdsh,Al-Kadash
Alrdf,Al-Radf
AlrJhh,Al-Rajhah
Aladrws,Al-Adrous
J'ashy,Ja'ashi
Al'ardh,Al-'Arida
bwmyh,Bumiya
Al'ramyh,Al-'Aramiyah
Alblyly,Al-Balili
Alkdhh,Al-Kadha
AlshnyrJ,Al-Shanirj
Al'fyrh,Al-Afira
Alhshws,Al-Hasahus
bny dryghm,Bani Drigham
AldyJh,Ad-Dhayjah
byr aldlw,Bir Al-Dalu
Almyrkh,al-Mirkh
AlTyshh,al-Tayshah
Alaqrwd  alnJd,Al-Aqrouth -Al-Najd
Almkha',Al-Mukha
Aldrd'a,Ad-Darda'i
Jbl alhkymh,Jabal Al-Hakimah
nJd qsym,Najd Qasim
Alsh'b,Al-Sha'ab
dra'h,Dhara'ah
Almqlb,Al-Maqlab
y'aqbh,Yaaqaba
Alsnmh,Al-Sanmah
Alnwbh,Al-Nawbah
nwbh 'amr,Nawbat Amer
Alhsn,Al-Hisn
Alshadhlyh,Al-Shadhiliyah
Alshbarh,Al-Shabarah
Alqmbryh,Al-Qambariyah
Almnasyb,Al-Manasib
Alqly'h,Al-Qali'ah
Alsnmh,Al-Sanmah
AlhdJa,al-Hadji
Alkbh,Al-Kabbah
Alm'yanh,Al-Mu'ayyanah
Alhdydh,Al-Hadida
nmrh,Nimrah
bwmyh,Bumiya
Alrba'nh,Al-Raba'nah
Jsr rsyan,Rasian Bridge
Almqr'h,Al-Maqra'ah
AlhJrh,Al-Hajrah
am nzylh,Umm Nazilah
AlJdwn,Al-Jadun
'shary,Ashari
Almqlb,Al-Maqlab
Almsafrh,Al-Musafirah
AlJbyh,al-Jubayyah
Alhwys,Al-Huways
Almdqw',Al-Madqu'
Almdaby,Al-Madhabi
bharh,Bahara
AldyJh,Al-Dhayjah
Alkdmh,al-Kadmah
bny 'ly,Bani Ali
Alhlyby,Al-Hulaibi
Alnwazl,Al-Nawazil
Alshbarh,Al-Shabarah
bny 'ly,Bani Ali
AlqTnh,Al-Qatna
rda'  almdatn,Rada Al-Madaten
Alhlqwm,Al-Halqum
Alswyhrh,Al Suwayhira
bny 'ly,Bani Ali
bny 'amr,Bani Amer
Alkdhh,Al-Kadha
Alshqyra',Al-Shuqayra
nJd al'ra'r,Najd Al-Ara'ir
hadyh,Hadhiyah
mqdm ras,Muqaddam Ras
Almzandh,Al-Mazanda
Alm'asr,Al-Ma'asir
Alrdf,Al-Radf
wady alm'qm,Wadi Al-Mu'aqam
Al'rwsh,Al-'Urush
AlTwyr,Al-Tuwair
Alrwyh alsfla,Al-Ruwayya Al-Sufla
y'aqbh,Yaaqaba
AlqT',Al-Qata'
Alqa'dh,Al-Qa'idah
Alrdf,Al-Radf
AlhJafyh,Al-Hajafiyah
AlJrzyn,Al-Jarzeen
AlTwyran,Al-Tuwairan
Aldwsh,Al-Doush
hwJlh,Hawjalah
Alghyl,Al-Ghayl
Almnqa'h,Al-Manqa'a
mqdm ras,Muqaddam Ras
sh'b albyr,Sha'b Al-Bir
hsy bn 'lwan,Hassi Bin Alwan
Almwsnh,Al-Musinah
Alazywd,Al-Azyoud
AlJbh,Al-Jabhah
Almrnwf,Al-Marnouf
Almstshfa,Al-Mustashfa
Alswyrh  albqwr,Al-Sawerah-Al-Baqwr
Alkwyhh,Al-Kuwayhah
Alkhbyh,Al-Khabiyah
AlJryb,Al-Jarib
Al'zybh,Al-Aziba
Alshqyra',Al-Shuqayra
dhy albr'  almsyrb,Thee Al-Bara-Al-Musayrib
Alswyhrh,Al-Suwayhirah
Alazywd,Al-Azyoud
Alhqyn,Al-Haqin
AlJm'h,Al-Jum'ah
AldyJh,Al-Dhayjah
Alatymh,Al-Atima
Al'fyrh,Al-Afirah
Alzrayb,al-Zara'ib
Alkdyhh,Al-Kadihah
Almrhwd,Al-Marhoudh
Almbyadh,Al-Mubayadah
AlhyaJy,Al-Hayaji
